Абсолютный путь,Относительный путь,Отношение сторон (w/h),Диапазон отношения сторон
C:\Users\Artem\STUD\PP\pig_images\000008.jpg,pig_images\000008.jpg,1.9,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000004.jpg,pig_images\000004.jpg,1.78,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000014.jpg,pig_images\000014.jpg,1.78,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000023.jpg,pig_images\000023.jpg,1.77,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000010.jpg,pig_images\000010.jpg,1.73,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000009.jpg,pig_images\000009.jpg,1.71,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000011.jpg,pig_images\000011.jpg,1.62,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000001.jpg,pig_images\000001.jpg,1.6,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000018.jpg,pig_images\000018.jpg,1.6,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000005.jpg,pig_images\000005.jpg,1.6,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000012.jpg,pig_images\000012.jpg,1.52,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000025.jpg,pig_images\000025.jpg,1.5,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000022.jpg,pig_images\000022.jpg,1.5,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000020.jpg,pig_images\000020.jpg,1.5,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000006.jpg,pig_images\000006.jpg,1.5,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000026.jpg,pig_images\000026.jpg,1.5,1.5-2.0
C:\Users\Artem\STUD\PP\pig_images\000024.jpg,pig_images\000024.jpg,1.44,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000015.jpg,pig_images\000015.jpg,1.33,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000013.jpg,pig_images\000013.jpg,1.33,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000003.jpg,pig_images\000003.jpg,1.29,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000021.jpg,pig_images\000021.jpg,1.29,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000017.jpg,pig_images\000017.jpg,1.19,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000027.jpg,pig_images\000027.jpg,1.13,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000019.jpg,pig_images\000019.jpg,1.01,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000016.jpg,pig_images\000016.jpg,1.0,1.0-1.5
C:\Users\Artem\STUD\PP\pig_images\000002.jpg,pig_images\000002.jpg,0.92,0.5-1.0
C:\Users\Artem\STUD\PP\pig_images\000007.jpg,pig_images\000007.jpg,0.67,0.5-1.0
